PassengerId,Unnamed,class,age,sex,survived
242,243,1st class,adults,women,yes
50,51,1st class,adults,man,yes
162,163,1st class,adults,man,no
830,831,3rd class,adults,man,no
1200,1201,3rd class,adults,women,no
853,854,3rd class,adults,man,no
301,302,1st class,adults,women,yes
172,173,1st class,adults,man,no
893,894,3rd class,adults,man,no
1138,1139,3rd class,adults,women,yes
1303,1304,3rd class,child,women,no
1210,1211,3rd class,adults,women,no
913,914,3rd class,adults,man,no
712,713,3rd class,adults,man,no
210,211,1st class,adults,women,yes
344,345,2nd class,adults,man,no
306,307,1st class,adults,women,yes
217,218,1st class,adults,women,yes
1290,1291,3rd class,child,women,yes
289,290,1st class,adults,women,yes
378,379,2nd class,adults,man,no
167,168,1st class,adults,man,no
421,422,2nd class,adults,man,no
1232,1233,3rd class,adults,women,no
616,617,3rd class,adults,man,yes
12,13,1st class,adults,man,yes
522,523,2nd class,adults,women,yes
946,947,3rd class,adults,man,no
68,69,1st class,adults,man,no
90,91,1st class,adults,man,no
1075,1076,3rd class,adults,women,yes
380,381,2nd class,adults,man,no
372,373,2nd class,adults,man,no
258,259,1st class,adults,women,yes
742,743,3rd class,adults,man,no
304,305,1st class,adults,women,yes
1176,1177,3rd class,adults,women,no
410,411,2nd class,adults,man,no
1271,1272,3rd class,child,man,no
669,670,3rd class,adults,man,yes
42,43,1st class,adults,man,yes
208,209,1st class,adults,women,yes
940,941,3rd class,adults,man,no
1266,1267,3rd class,child,man,no
1009,1010,3rd class,adults,man,no
596,597,2nd class,child,man,yes
848,849,3rd class,adults,man,no
515,516,2nd class,adults,women,yes
285,286,1st class,adults,women,yes
1242,1243,3rd class,child,man,yes
71,72,1st class,adults,man,no
561,562,2nd class,adults,women,yes
179,180,1st class,adults,women,yes
982,983,3rd class,adults,man,no
1230,1231,3rd class,adults,women,no
493,494,2nd class,adults,women,yes
116,117,1st class,adults,man,no
293,294,1st class,adults,women,yes
76,77,1st class,adults,man,no
48,49,1st class,adults,man,yes
693,694,3rd class,adults,man,no
1088,1089,3rd class,adults,women,yes
811,812,3rd class,adults,man,no
332,333,2nd class,adults,man,yes
576,577,2nd class,adults,women,no
622,623,3rd class,adults,man,yes
564,565,2nd class,adults,women,yes
817,818,3rd class,adults,man,no
771,772,3rd class,adults,man,no
409,410,2nd class,adults,man,no
1002,1003,3rd class,adults,man,no
1308,1309,3rd class,child,women,no
839,840,3rd class,adults,man,no
288,289,1st class,adults,women,yes
630,631,3rd class,adults,man,yes
524,525,2nd class,adults,women,yes
157,158,1st class,adults,man,no
337,338,2nd class,adults,man,yes
1241,1242,3rd class,child,man,yes
496,497,2nd class,adults,women,yes
46,47,1st class,adults,man,yes
874,875,3rd class,adults,man,no
462,463,2nd class,adults,man,no
768,769,3rd class,adults,man,no
1105,1106,3rd class,adults,women,yes
439,440,2nd class,adults,man,no
177,178,1st class,adults,women,yes
1000,1001,3rd class,adults,man,no
1199,1200,3rd class,adults,women,no
424,425,2nd class,adults,man,no
325,326,2nd class,adults,man,yes
1289,1290,3rd class,child,women,yes
664,665,3rd class,adults,man,yes
350,351,2nd class,adults,man,no
447,448,2nd class,adults,man,no
17,18,1st class,adults,man,yes
900,901,3rd class,adults,man,no
881,882,3rd class,adults,man,no
1157,1158,3rd class,adults,women,no
1224,1225,3rd class,adults,women,no
345,346,2nd class,adults,man,no
871,872,3rd class,adults,man,no
313,314,1st class,adults,women,yes
762,763,3rd class,adults,man,no
451,452,2nd class,adults,man,no
170,171,1st class,adults,man,no
699,700,3rd class,adults,man,no
1314,1315,3rd class,child,women,no
133,134,1st class,adults,man,no
1114,1115,3rd class,adults,women,yes
1051,1052,3rd class,adults,man,no
78,79,1st class,adults,man,no
1029,1030,3rd class,adults,man,no
346,347,2nd class,adults,man,no
396,397,2nd class,adults,man,no
1076,1077,3rd class,adults,women,yes
389,390,2nd class,adults,man,no
385,386,2nd class,adults,man,no
971,972,3rd class,adults,man,no
119,120,1st class,adults,man,no
1294,1295,3rd class,child,women,yes
974,975,3rd class,adults,man,no
229,230,1st class,adults,women,yes
1115,1116,3rd class,adults,women,yes
21,22,1st class,adults,man,yes
1179,1180,3rd class,adults,women,no
856,857,3rd class,adults,man,no
250,251,1st class,adults,women,yes
243,244,1st class,adults,women,yes
927,928,3rd class,adults,man,no
35,36,1st class,adults,man,yes
593,594,2nd class,child,man,yes
671,672,3rd class,adults,man,yes
507,508,2nd class,adults,women,yes
944,945,3rd class,adults,man,no
983,984,3rd class,adults,man,no
1202,1203,3rd class,adults,women,no
109,110,1st class,adults,man,no
754,755,3rd class,adults,man,no
379,380,2nd class,adults,man,no
614,615,3rd class,adults,man,yes
604,605,2nd class,child,women,yes
627,628,3rd class,adults,man,yes
660,661,3rd class,adults,man,yes
582,583,2nd class,adults,women,no
723,724,3rd class,adults,man,no
171,172,1st class,adults,man,no
677,678,3rd class,adults,man,yes
238,239,1st class,adults,women,yes
700,701,3rd class,adults,man,no
895,896,3rd class,adults,man,no
1136,1137,3rd class,adults,women,yes
709,710,3rd class,adults,man,no
1292,1293,3rd class,child,women,yes
321,322,1st class,child,man,yes
120,121,1st class,adults,man,no
1236,1237,3rd class,adults,women,no
155,156,1st class,adults,man,no
1118,1119,3rd class,adults,women,yes
624,625,3rd class,adults,man,yes
138,139,1st class,adults,man,no
125,126,1st class,adults,man,no
456,457,2nd class,adults,man,no
66,67,1st class,adults,man,no
1047,1048,3rd class,adults,man,no
1161,1162,3rd class,adults,women,no
1159,1160,3rd class,adults,women,no
626,627,3rd class,adults,man,yes
605,606,2nd class,child,women,yes
1301,1302,3rd class,child,women,no
1015,1016,3rd class,adults,man,no
178,179,1st class,adults,women,yes
1087,1088,3rd class,adults,women,yes
415,416,2nd class,adults,man,no
100,101,1st class,adults,man,no
1117,1118,3rd class,adults,women,yes
219,220,1st class,adults,women,yes
741,742,3rd class,adults,man,no
334,335,2nd class,adults,man,yes
114,115,1st class,adults,man,no
681,682,3rd class,adults,man,yes
220,221,1st class,adults,women,yes
391,392,2nd class,adults,man,no
1208,1209,3rd class,adults,women,no
309,310,1st class,adults,women,yes
1147,1148,3rd class,adults,women,yes
1229,1230,3rd class,adults,women,no
527,528,2nd class,adults,women,yes
815,816,3rd class,adults,man,no
245,246,1st class,adults,women,yes
685,686,3rd class,adults,man,no
518,519,2nd class,adults,women,yes
878,879,3rd class,adults,man,no
866,867,3rd class,adults,man,no
394,395,2nd class,adults,man,no
640,641,3rd class,adults,man,yes
104,105,1st class,adults,man,no
891,892,3rd class,adults,man,no
1049,1050,3rd class,adults,man,no
987,988,3rd class,adults,man,no
51,52,1st class,adults,man,yes
602,603,2nd class,child,women,yes
354,355,2nd class,adults,man,no
1233,1234,3rd class,adults,women,no
460,461,2nd class,adults,man,no
22,23,1st class,adults,man,yes
374,375,2nd class,adults,man,no
538,539,2nd class,adults,women,yes
218,219,1st class,adults,women,yes
585,586,2nd class,adults,women,no
906,907,3rd class,adults,man,no
846,847,3rd class,adults,man,no
884,885,3rd class,adults,man,no
414,415,2nd class,adults,man,no
205,206,1st class,adults,women,yes
1196,1197,3rd class,adults,women,no
497,498,2nd class,adults,women,yes
516,517,2nd class,adults,women,yes
702,703,3rd class,adults,man,no
676,677,3rd class,adults,man,yes
375,376,2nd class,adults,man,no
185,186,1st class,adults,women,yes
404,405,2nd class,adults,man,no
706,707,3rd class,adults,man,no
922,923,3rd class,adults,man,no
401,402,2nd class,adults,man,no
861,862,3rd class,adults,man,no
1069,1070,3rd class,adults,man,no
441,442,2nd class,adults,man,no
132,133,1st class,adults,man,no
745,746,3rd class,adults,man,no
173,174,1st class,adults,man,no
690,691,3rd class,adults,man,no
825,826,3rd class,adults,man,no
827,828,3rd class,adults,man,no
428,429,2nd class,adults,man,no
921,922,3rd class,adults,man,no
1295,1296,3rd class,child,women,yes
1132,1133,3rd class,adults,women,yes
718,719,3rd class,adults,man,no
282,283,1st class,adults,women,yes
96,97,1st class,adults,man,no
965,966,3rd class,adults,man,no
635,636,3rd class,adults,man,yes
738,739,3rd class,adults,man,no
499,500,2nd class,adults,women,yes
74,75,1st class,adults,man,no
89,90,1st class,adults,man,no
992,993,3rd class,adults,man,no
691,692,3rd class,adults,man,no
926,927,3rd class,adults,man,no
0,1,1st class,adults,man,yes
558,559,2nd class,adults,women,yes
683,684,3rd class,adults,man,yes
392,393,2nd class,adults,man,no
476,477,2nd class,adults,man,no
1165,1166,3rd class,adults,women,no
519,520,2nd class,adults,women,yes
107,108,1st class,adults,man,no
347,348,2nd class,adults,man,no
1107,1108,3rd class,adults,women,yes
1131,1132,3rd class,adults,women,yes
223,224,1st class,adults,women,yes
1039,1040,3rd class,adults,man,no
327,328,2nd class,adults,man,yes
875,876,3rd class,adults,man,no
102,103,1st class,adults,man,no
1092,1093,3rd class,adults,women,yes
620,621,3rd class,adults,man,yes
475,476,2nd class,adults,man,no
213,214,1st class,adults,women,yes
707,708,3rd class,adults,man,no
135,136,1st class,adults,man,no
852,853,3rd class,adults,man,no
246,247,1st class,adults,women,yes
1297,1298,3rd class,child,women,yes
1059,1060,3rd class,adults,man,no
1183,1184,3rd class,adults,women,no
1038,1039,3rd class,adults,man,no
1102,1103,3rd class,adults,women,yes
1019,1020,3rd class,adults,man,no
997,998,3rd class,adults,man,no
365,366,2nd class,adults,man,no
248,249,1st class,adults,women,yes
736,737,3rd class,adults,man,no
26,27,1st class,adults,man,yes
836,837,3rd class,adults,man,no
284,285,1st class,adults,women,yes
417,418,2nd class,adults,man,no
1228,1229,3rd class,adults,women,no
680,681,3rd class,adults,man,yes
994,995,3rd class,adults,man,no
1284,1285,3rd class,child,man,no
3,4,1st class,adults,man,yes
134,135,1st class,adults,man,no
837,838,3rd class,adults,man,no
355,356,2nd class,adults,man,no
292,293,1st class,adults,women,yes
698,699,3rd class,adults,man,no
1142,1143,3rd class,adults,women,yes
1122,1123,3rd class,adults,women,yes
1268,1269,3rd class,child,man,no
912,913,3rd class,adults,man,no
897,898,3rd class,adults,man,no
1018,1019,3rd class,adults,man,no
228,229,1st class,adults,women,yes
643,644,3rd class,adults,man,yes
225,226,1st class,adults,women,yes
226,227,1st class,adults,women,yes
842,843,3rd class,adults,man,no
369,370,2nd class,adults,man,no
1074,1075,3rd class,adults,women,yes
844,845,3rd class,adults,man,no
339,340,2nd class,adults,man,no
419,420,2nd class,adults,man,no
1129,1130,3rd class,adults,women,yes
603,604,2nd class,child,women,yes
1186,1187,3rd class,adults,women,no
265,266,1st class,adults,women,yes
454,455,2nd class,adults,man,no
916,917,3rd class,adults,man,no
63,64,1st class,adults,man,no
1133,1134,3rd class,adults,women,yes
1055,1056,3rd class,adults,man,no
360,361,2nd class,adults,man,no
237,238,1st class,adults,women,yes
650,651,3rd class,adults,man,yes
112,113,1st class,adults,man,no
1245,1246,3rd class,child,man,yes
1307,1308,3rd class,child,women,no
532,533,2nd class,adults,women,yes
577,578,2nd class,adults,women,no
810,811,3rd class,adults,man,no
126,127,1st class,adults,man,no
259,260,1st class,adults,women,yes
1080,1081,3rd class,adults,women,yes
148,149,1st class,adults,man,no
721,722,3rd class,adults,man,no
1044,1045,3rd class,adults,man,no
376,377,2nd class,adults,man,no
851,852,3rd class,adults,man,no
896,897,3rd class,adults,man,no
694,695,3rd class,adults,man,no
137,138,1st class,adults,man,no
1063,1064,3rd class,adults,man,no
7,8,1st class,adults,man,yes
502,503,2nd class,adults,women,yes
854,855,3rd class,adults,man,no
947,948,3rd class,adults,man,no
631,632,3rd class,adults,man,yes
1126,1127,3rd class,adults,women,yes
371,372,2nd class,adults,man,no
929,930,3rd class,adults,man,no
29,30,1st class,adults,man,yes
411,412,2nd class,adults,man,no
407,408,2nd class,adults,man,no
1282,1283,3rd class,child,man,no
357,358,2nd class,adults,man,no
353,354,2nd class,adults,man,no
788,789,3rd class,adults,man,no
153,154,1st class,adults,man,no
566,567,2nd class,adults,women,yes
542,543,2nd class,adults,women,yes
343,344,2nd class,adults,man,no
305,306,1st class,adults,women,yes
612,613,3rd class,adults,man,yes
4,5,1st class,adults,man,yes
280,281,1st class,adults,women,yes
1127,1128,3rd class,adults,women,yes
1173,1174,3rd class,adults,women,no
1273,1274,3rd class,child,man,no
56,57,1st class,adults,man,yes
400,401,2nd class,adults,man,no
572,573,2nd class,adults,women,yes
962,963,3rd class,adults,man,no
473,474,2nd class,adults,man,no
468,469,2nd class,adults,man,no
1050,1051,3rd class,adults,man,no
1064,1065,3rd class,adults,man,no
1244,1245,3rd class,child,man,yes
1026,1027,3rd class,adults,man,no
776,777,3rd class,adults,man,no
847,848,3rd class,adults,man,no
504,505,2nd class,adults,women,yes
534,535,2nd class,adults,women,yes
720,721,3rd class,adults,man,no
903,904,3rd class,adults,man,no
13,14,1st class,adults,man,yes
648,649,3rd class,adults,man,yes
679,680,3rd class,adults,man,yes
550,551,2nd class,adults,women,yes
838,839,3rd class,adults,man,no
1169,1170,3rd class,adults,women,no
781,782,3rd class,adults,man,no
300,301,1st class,adults,women,yes
1110,1111,3rd class,adults,women,yes
1061,1062,3rd class,adults,man,no
945,946,3rd class,adults,man,no
570,571,2nd class,adults,women,yes
163,164,1st class,adults,man,no
636,637,3rd class,adults,man,yes
666,667,3rd class,adults,man,yes
336,337,2nd class,adults,man,yes
59,60,1st class,adults,man,no
1181,1182,3rd class,adults,women,no
1225,1226,3rd class,adults,women,no
53,54,1st class,adults,man,yes
490,491,2nd class,adults,man,no
326,327,2nd class,adults,man,yes
449,450,2nd class,adults,man,no
855,856,3rd class,adults,man,no
1030,1031,3rd class,adults,man,no
1024,1025,3rd class,adults,man,no
1091,1092,3rd class,adults,women,yes
823,824,3rd class,adults,man,no
939,940,3rd class,adults,man,no
826,827,3rd class,adults,man,no
437,438,2nd class,adults,man,no
670,671,3rd class,adults,man,yes
563,564,2nd class,adults,women,yes
1103,1104,3rd class,adults,women,yes
1231,1232,3rd class,adults,women,no
786,787,3rd class,adults,man,no
873,874,3rd class,adults,man,no
1272,1273,3rd class,child,man,no
819,820,3rd class,adults,man,no
1006,1007,3rd class,adults,man,no
586,587,2nd class,child,man,yes
941,942,3rd class,adults,man,no
348,349,2nd class,adults,man,no
1267,1268,3rd class,child,man,no
1028,1029,3rd class,adults,man,no
463,464,2nd class,adults,man,no
1226,1227,3rd class,adults,women,no
653,654,3rd class,adults,man,yes
573,574,2nd class,adults,women,no
647,648,3rd class,adults,man,yes
595,596,2nd class,child,man,yes
890,891,3rd class,adults,man,no
470,471,2nd class,adults,man,no
800,801,3rd class,adults,man,no
281,282,1st class,adults,women,yes
932,933,3rd class,adults,man,no
732,733,3rd class,adults,man,no
715,716,3rd class,adults,man,no
832,833,3rd class,adults,man,no
951,952,3rd class,adults,man,no
1037,1038,3rd class,adults,man,no
455,456,2nd class,adults,man,no
584,585,2nd class,adults,women,no
147,148,1st class,adults,man,no
160,161,1st class,adults,man,no
750,751,3rd class,adults,man,no
859,860,3rd class,adults,man,no
952,953,3rd class,adults,man,no
1100,1101,3rd class,adults,women,yes
628,629,3rd class,adults,man,yes
606,607,2nd class,child,women,yes
164,165,1st class,adults,man,no
106,107,1st class,adults,man,no
1040,1041,3rd class,adults,man,no
617,618,3rd class,adults,man,yes
1097,1098,3rd class,adults,women,yes
329,330,2nd class,adults,man,yes
480,481,2nd class,adults,man,no
498,499,2nd class,adults,women,yes
1220,1221,3rd class,adults,women,no
93,94,1st class,adults,man,no
809,810,3rd class,adults,man,no
433,434,2nd class,adults,man,no
43,44,1st class,adults,man,yes
860,861,3rd class,adults,man,no
1150,1151,3rd class,adults,women,no
967,968,3rd class,adults,man,no
710,711,3rd class,adults,man,no
1283,1284,3rd class,child,man,no
1252,1253,3rd class,child,man,no
765,766,3rd class,adults,man,no
885,886,3rd class,adults,man,no
556,557,2nd class,adults,women,yes
1249,1250,3rd class,child,man,yes
69,70,1st class,adults,man,no
514,515,2nd class,adults,women,yes
509,510,2nd class,adults,women,yes
340,341,2nd class,adults,man,no
221,222,1st class,adults,women,yes
146,147,1st class,adults,man,no
1053,1054,3rd class,adults,man,no
803,804,3rd class,adults,man,no
508,509,2nd class,adults,women,yes
1175,1176,3rd class,adults,women,no
176,177,1st class,adults,women,yes
804,805,3rd class,adults,man,no
168,169,1st class,adults,man,no
1137,1138,3rd class,adults,women,yes
1205,1206,3rd class,adults,women,no
129,130,1st class,adults,man,no
189,190,1st class,adults,women,yes
136,137,1st class,adults,man,no
894,895,3rd class,adults,man,no
197,198,1st class,adults,women,yes
290,291,1st class,adults,women,yes
36,37,1st class,adults,man,yes
767,768,3rd class,adults,man,no
232,233,1st class,adults,women,yes
645,646,3rd class,adults,man,yes
33,34,1st class,adults,man,yes
1270,1271,3rd class,child,man,no
1068,1069,3rd class,adults,man,no
865,866,3rd class,adults,man,no
341,342,2nd class,adults,man,no
1085,1086,3rd class,adults,women,yes
199,200,1st class,adults,women,yes
429,430,2nd class,adults,man,no
1296,1297,3rd class,child,women,yes
876,877,3rd class,adults,man,no
730,731,3rd class,adults,man,no
919,920,3rd class,adults,man,no
297,298,1st class,adults,women,yes
73,74,1st class,adults,man,no
807,808,3rd class,adults,man,no
547,548,2nd class,adults,women,yes
949,950,3rd class,adults,man,no
1192,1193,3rd class,adults,women,no
821,822,3rd class,adults,man,no
663,664,3rd class,adults,man,yes
1182,1183,3rd class,adults,women,no
623,624,3rd class,adults,man,yes
212,213,1st class,adults,women,yes
1035,1036,3rd class,adults,man,no
1190,1191,3rd class,adults,women,no
1217,1218,3rd class,adults,women,no
727,728,3rd class,adults,man,no
701,702,3rd class,adults,man,no
1022,1023,3rd class,adults,man,no
1257,1258,3rd class,child,man,no
234,235,1st class,adults,women,yes
1007,1008,3rd class,adults,man,no
978,979,3rd class,adults,man,no
67,68,1st class,adults,man,no
24,25,1st class,adults,man,yes
216,217,1st class,adults,women,yes
812,813,3rd class,adults,man,no
735,736,3rd class,adults,man,no
111,112,1st class,adults,man,no
166,167,1st class,adults,man,no
1255,1256,3rd class,child,man,no
207,208,1st class,adults,women,yes
274,275,1st class,adults,women,yes
41,42,1st class,adults,man,yes
591,592,2nd class,child,man,yes
525,526,2nd class,adults,women,yes
287,288,1st class,adults,women,yes
469,470,2nd class,adults,man,no
121,122,1st class,adults,man,no
1311,1312,3rd class,child,women,no
928,929,3rd class,adults,man,no
673,674,3rd class,adults,man,yes
1141,1142,3rd class,adults,women,yes
886,887,3rd class,adults,man,no
956,957,3rd class,adults,man,no
25,26,1st class,adults,man,yes
1134,1135,3rd class,adults,women,yes
149,150,1st class,adults,man,no
925,926,3rd class,adults,man,no
696,697,3rd class,adults,man,no
843,844,3rd class,adults,man,no
889,890,3rd class,adults,man,no
598,599,2nd class,child,women,yes
1020,1021,3rd class,adults,man,no
139,140,1st class,adults,man,no
